name;ror_id;wikidata_id;custom_id
African journals Online (AJOL);;Q4689837
Arxiv;00m2zh467
COAR;;Q48789578
Datacite;04wxnsj81
DOAB / OAPEN;;;doab_oapen
DOAJ;05amyt365
European Diamond Capacity Hub;;;edch
Episciences;;Q23688650
La Referencia;024pbfj84
Centre Mersenne;;Q55606850
Metopes;;;metopes
Mir@bel;;Q25389821
OpenAlex;02nr0ka47
Open citations;00wb4mk85
Peer community in;0315saa81
PKP;;Q680086
Repères;;Q117355383
RDA;;Q25338539
ROR;;Q110235640
SciPost;05br64h13
Software Heritage;;Q28127082
SPARC Europe;04d2k0j65
Open policy finder (ex Sherpa/Romeo);;;open_policy_finder
Open Library of Humanities;;Q17072915
