intermediary/name;intermediary/ror_id;intermediary/wikidata_id
Bibsam;;Q55605397
BSB Munich;031h71w90;
BTAA;02ntfsb56;
CAUL;00aa7w613;
CDL;03yrm5c26;
CRKN;00s5kmw74;
Det Kgl. Bibliothek;03vvy0v27;
Elektron;;Q27991319
FAK;;Q76612411
FinELib;;Q76612408
IReL;05c347015;
Jisc;01rv9gx86;
KU;;Q16989244
Lower Saxony Consortium;;Q76612496
Lyrasis;026tem613;
OBC;043be3q74;
Orbis Cascade Alliance;;Q7100024
Saxony Consortium;;Q134580046
Sikt;03zee5r16;
SLSP;01jmqcy63;
VIVA;021gxf250;
COUPERIN;035c9qf67;
Sachsenkonsortium;;Q134580046
LYRASIS;026tem613;
SCOSS;;Q75737631