emitter/name;emitter/ror_id;emitter/wikidata_id;emitter/sub
Université Bourgogne Europe;00g700j37
FNSO;;Q132450832
PNSO;;Q132450832;PNSO
Université Paris-Saclay;03xjwb503
Établissement public Campus Condorcet;00cd48p72
Institut national de recherche en sciences et technologies du numérique;02kvxyf05
Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement;003vg9w96
Université Bordeaux Montaigne;03pbgwk21
Université de Lorraine;04vfs2w97
Université Paris Nanterre;013bkhk48
Université de Lille;02kzqn938
Bibliothèque nationale et universitaire de Strasbourg;025nwkd90
École Nationale des Chartes;013xvg556
École Normale Supérieure - PSL;05a0dhs15
École Normale Supérieure de Lyon;04zmssz18
La Rochelle Université;04mv1z119
Nantes Université;03gnr7b55
Sciences Po Bordeaux;01b5nw197
Sorbonne Université;02en5vm52
Université Côte d'Azur;019tgvf94
Université d'Évry Val-d'Essonne;00e96v939
Université de Corse Pascal Paoli;050ra0n32
Université de Haute-Alsace;04k8k6n84
Université de Limoges;02cp04407
Université de Pau et des Pays de l'Adour;01frn9647
Université de Rennes;015m7wh34
Université de Rouen Normandie;03nhjew95
Université de Versailles Saint-Quentin-en-Yvelines;03mkjjy25
Université Gustave Eiffel;03x42jk29
Université Lumière Lyon 2;03rth4p18
Université Marie et Louis Pasteur;04asdee31
Université Paris Cité;05f82e368
Université Rennes 2;01m84wm78
Université Sorbonne Nouvelle;03z6jp965
Université Toulouse - Jean Jaurès;04ezk3x31
University of Reunion Island;005ypkf75
Institut National des Sciences Appliquées de Lyon;050jn9y42
Université de Poitiers;04xhy8q59
National High School of Social Security;;Q612407
Université de Tours;02wwzvj46
Université Paris-Est Créteil;05ggc9x40
Centre National de la Recherche Scientifique;02feahw73
Université de Caen Normandie;051kpcy16
Université Jean Moulin Lyon III;05b5c0584
AgroParisTech;02kbmgc12