emitter/name;emitter/ror_id;emitter/wikidata_id
Aalto University;020hwjq30;
Abo Akademi University;029pk6x14;
Australian Catholic University;04cxm4j25;
Australian National University;019wvm592;
Biblioteca Universitaria d'Università della Svizzera italiana;05ep8g269;
Bibliothek der Pädagogischen Hochschule Zürich;01awgk221;
Bibliothek der Universität St. Gallen;05aq07d91;
Bibliothèque Cantonal et Univérsitaire de Lausanne;010dca812;
Bibliothèque de l’EPFL;02s376052 ;
Bibliothèque publique et universitaire Neuchâtel;00vasag41;
Brock University;056am2717;
Canadian Research Knowledge Network;00s5kmw74;
Cape Breton University;052y05165;
Concordia University of Edmonton;04013rx15;
Council of Australian University Librarians;00aa7w613;
Curtin University;02n415q13;
Dalhousie University;01e6qks80;
Deakin University;02czsnj07;
Diaconia University of Applied Sciences;04n5wkv72;
Division de l'information scientifique de l’Université de Genève;011hgkj26;
École de technologie supérieure;0020snb74;
ETH Zurich;05a28rw58;
Federation University Australia;05qbzwv83 ;
FinELib Consortium;;Q76612408
Finnish Centre for Pensions;011h3r445;
Flinders university;01kpzv902;
George Washington University;00y4zzh67;
Griffith University;02sc3r913;
HAAGA-HELIA University of Applied Sciences;05cqf4668;
Hanken School of Economics;026086s92;
Institut national de la recherche scientifique;04td37d32;
Institute For Social Research;05swz5441;
Institute Of Transport Economics;04p2pa451;
IReL;05c347015;
James Cook University;04gsp2c11;
Kantons- und Universtitätsbibliothek Freiburg;022fs9h90 ;
Konsortium Baden-Württemberg;;Q76612447
Kwantlen Polytechnic University;04raxj885;
La Trobe University;01rxfrp27;
Laurea University of Applied Sciences;05h664633;
Leibniz Information Centre for Economics;03a96gc12;
Lib4RI;021f7p178;
MacEwan University;003s89n44;
Macquarie University;01sf06y89;
Massey University;052czxv31;
McMaster University;02fa3aq29;
Memorial University of Newfoundland;04haebc03;
MOBIUS;006xxv571;
Monash University;02bfwt286;
Mount Saint Vincent University;03g3p3b82;
National Library of Sweden;049bh0z35;
National Library of Sweden;049bh0z35;
Nipissing University;05k14ba46;
Nord University;030mwrt98;
Norwegian Business School;03ez40v33;
Norwegian Defence University College;02vfz9j23;
Norwegian Institute For Water Research;03hrf8236;
Norwegian Institute Of Public Health;046nvst19;
Norwegian School Of Sport Sciences - The Library;045016w83;
Norwegian University of Life Sciences;04a1mvv97;
Norwegian University of Science and Technology;05xg72x27;
Oslo National Academy Of The Arts;0543h9a62;
OsloMet - Oslo Metropolitan University;04q12yn84;
Ostfold University College;04gf7fp41;
Pennsylvania State University;04p491231;
Queen's University;02y72wh86;
Queensland University of Technology;03pnv4752;
Ryerson University;05g13zd79;
Schweizerischer Nationalfonds;;Q471732
Simon Fraser University;0213rcc28;
Swiss Universities Consortium;;Q23783835
Tampere University including Tampere University Hospital;033003e23;
Technische Universitaet Wien (TU Wien);04d836q62;
The Fafo Research Foundation;00ee9xb13;
The University Centre in Svalbard;03cyjf656;
The Virtual Library of Virginia;021gxf250;
Turku University of Applied Sciences;04s0yt949;
UiT The Arctic University of Norway;00wge5k78;
Universitätsbibliothek Basel;02s6k3f65;
Universitätsbibliothek Bern;02k7v4d05;
Université de Montréal;0161xgx34;
Université du Québec à Trois-Rivières;02xrw9r68;
Université Laval;04sjchr03;
Université Paris-Saclay;03xjwb503;
University of Adelaide;00892tw58;
University of Agder;03x297z98;
University of Alberta;0160cpw27;
University of Alberta;0160cpw27;
University of Antwerp;008x57b05;
University of Bergen;03zga2b32;
University of Canterbury;03y7q9t39;
University of Eastern Finland including Kuopio University Hospital;00fqdfs68;
University of Graz;01faaaf77;
University of Helsinki including Helsinki University Central Hospital;02e8hzf44;
University of Jyväskylä;05n3dz165;
University of Lapland;05jzt8766;
University of Melbourne;01ej9dk98;
University of New Brunswick;05nkf0n29;
University of New England;02n2ava60;
University of New South Wales;03r8z3t63;
University Of Oslo Library;011sx0d94;
University of Otago;01jmxt844;
University of Ottawa;03c4mmv16;
University of Oulu including Oulu University Hospital;045ney286;
University of Prince Edward Island;02xh9x144;
University of Queensland;00rqy9422;
University of Regina;03dzc0485;
University of Saskatchewan;010x8gc63;
University of South Australia;01p93h210;
University Of South-Eastern Norway;05ecg5h20;
University of Southern Queensland;04sjbnx57;
University Of Stavanger;02qte9q33;
University of Sydney;0384j8v12;
University of Technology Sydney;03f0f6041;
University of Toronto;03dbr7087;
University of Turku including Turku university central hospital;05vghhr25;
University of Vaasa;03769b225;
University of Waikato;013fsnh78;
University of Western Australia;047272k79;
University of Windsor;01gw3d370;
University of Winnipeg;02gdzyx04;
University of Wollongong;00jtmb277;
Utrecht University;04pp8hn57;
Victoria University;04j757h98;
Western Norway University Of Applied Sciences;05phns765;
Western Sydney University;03t52dk35;
Wilfrid Laurier University;00fn7gb05;
York University;05fq50484;
Zentralbibliothek Zürich;033gess63;
ZHAW Hochschulbibliothek;05pmsvm27;
Zürcher Hochschule der Künste;05r0ap620;
Unit Consortium;03zee5r16;