emitter/name;emitter/wikidata_id;emitter/ror_id
Aix Marseille Université;;035xkbk20
Association Plume!;Q3392629;
Autorité de sûreté nucléaire et de radioprotection;;04dbtaf18
Bibliothéques de l'Université de Montréal;;0161xgx34 
CNRS DDOR;;02feahw73
CNRS Écologie & Environnement;;01q76b368
COMUE de Toulouse;;04ezk3x31
Consejo Superior De Investigaciones Científicas (CSIC);;02gfc7t72
Département ACT INRAE;;003vg9w96
Département AgroEcoSystem INRAE;;003vg9w96
Département ECODIV INRAE;;042w6m452
Département Génétique Animale INRAE;;029xmsm82
Département MathNum INRAE;;003vg9w96
Département PHASE INRAE;;03tpcfk14
Département SA INRAE;;003vg9w96
Département TRANSFORM INRAE;;00sxj6k90
DipSO INRAE;;003vg9w96
Direction des bibliothèques de l’Université de Montréal;;0161xgx34 
Direction pour la Science Ouverte (DipSO) INRAE;;043nepn57
École Pratique des Hautes Études - Université PSL;;046b3cj80
Ecotox Network;;003vg9w96
ENS Lyon;;04zmssz18
Erasmus University Rotterdam Diamond Fund;;057w15z03
ETH Zurich;;05a28rw58
Foundation for Science and Technology (FCT)|FCCN;;00snfqn58
Georg-August-Universität Göttingen;;01y9bpm73
IFREMER;;044jxhp58
Institut des Sciences de l'Evolution de Montpellier;;01cah1n37
Institut national de recherche en sciences et technologies du numérique;;02kvxyf05
John Hopkins University;;00za53h95
La Rochelle Université;;04mv1z119
LabEx BASC;;
LabEx CEBA;;
LabEx ECOFECT;;
Personnal donation;;
Réseau des URFIST;Q117462162;
Royal Dutch Zoological Society (KNDV);;
Stockholm University;;05f0yaq80 
UMR PALEVOPRIM;;04xhy8q59 
Universidade do Minho;;037wpkx04
Université Clermont Auvergne;;01a8ajp46
Université Côté Azur;;019tgvf94
Université de Bourgogne Europe;;00g700j37
Université de Lausanne;;019whta54
Université de Perpignan;;03am2jy38
Université de Reims Champagne Ardennes;;03hypw319
Université Grenoble Alpes;;02rx3b187
Université Marie Louis Pasteur;;04asdee31 
Université Paris Nanterre;;013bkhk48
Université Paris Saclay;;03xjwb503
Université Paris-Dauphine - Parix iX;;052bz7812
Université Paris-Est Créteil Val de Marne - Paris XII UPEC;;05ggc9x40
Université Versailles Saint-Quentin-en-Yvelines;;03mkjjy25
University of Bern;;02k7v4d05
University of Cambridge;;013meh722
University of Graz;;01faaaf77
University of Groningen;;012p63287
University of Milan;;00wjc7c48
University Utrecht;;04pp8hn57
Universoty of Leeds;;024mrxd33
Univesité de Lille;;02kzqn938
Univesité de Saint Etienne;;030bahv93
Univesity of York;;04m01e293
VU Amsterdam;;008xxew50
Université de Bretagne Occidentale;;0372th171